VariantID|RemoteSystemId|SourceId|VariantUpcId|Upc
1359373|000906320|1|886971|0883799348801
1359406|000908903|1|887037|8719022980246
1359522|000916184|1|887269|4549846370992
1359747|000907909|1|887719|0889645407920
1359748|000925696|1|887721|0889645423531
1359749|000907910|1|887723|0889645407944
1359752|000907912|1|887729|0889645407982
1359756|000907914|1|887735|0889645420677
1359758|000907915|1|887741|0889645420691
1359759|000925661|1|887743|0889645407999
1359762|000925662|1|887749|0889645700786
1359788|000916102|1|887801|0753759172084
1359873|000925711|1|887971|0889645403625
1359878|000925714|1|887981|0889645403649
1359882|000925715|1|887989|0889645403656
1359885|000925716|1|887993|0889645403663
1359888|000925718|1|888001|0889645403670
1359893|001589210|1|888011|0889645423630
1360051|000931100|1|888327|0801100585745
1360055|000931103|1|888335|0801100585769
1360058|000931105|1|888341|0801100585783
1360061|000931108|1|888347|0801100585806
1360065|000931111|1|888355|0801100585820
1360711|000940145|1|889636|0885176052820
1360713|000940146|1|889640|0885176052837
1361989|000037823|1|892189|0888412041435
1361997|000037833|1|892205|0888412041459
1361999|000037843|1|892207|0888412041473
1362574|000183411|1|893359|8718837020826
1362581|001124362|1|893373|8718837138170
1364445|000262044|1|897084|4055001776863
1364449|000262045|1|897091|4055001776870
1364454|000262046|1|897098|4055001776887
1364456|000262047|1|897103|4055001776894
1364458|000262049|1|897105|4055001776900
1364461|001437357|1|897114|4060477117096
1364465|001437362|1|897120|4060477117102
1364468|001437367|1|897126|4060477117119
1364472|001437372|1|897132|4060477117126
1364473|001437377|1|897136|4060477117133
1364658|001235363|1|897503|4550214109830
1364659|001235029|1|897504|4550214104125
1364668|001235039|1|897522|4550214104149
1364669|001235373|1|897524|4550214109854
1364988|000363412|1|898162|5052071939890
1364991|000363423|1|898168|5052071939920
1364992|000363427|1|898170|5052071939951
1364994|000363434|1|898174|5052071939982
1367543|001429159|1|903266|0192361674911
1367544|001429164|1|903268|0192364045930
1367546|001429169|1|903272|0192364045961
1367548|001429184|1|903276|0192361674935
1367757|000143242|1|903694|0190086809694
1367758|000143339|1|903696|0190086809700
1367759|000143555|1|903698|0190086809717
1367760|000143556|1|903700|0190086809724
1367894|000630168|1|903968|5052071937070
