RemoteSystemId,SourceId,Upc,VariantUpcId,VariantID,ProductId,ProductTypeId,ProductTypeName
002543589,1,2100000314621,4795583,10546958,16738799,0,Not Set
002543606,1,2100000748761,4801313,10549823,16738863,0,Not Set
002543613,1,2100000028610,4742019,10520177,16738812,0,Not Set
002543630,1,2100000728039,4774929,10536630,16738814,0,Not Set
002543634,1,2100000728084,4800825,10549579,16738813,0,Not Set
002543744,1,2100000199150,4795716,10547024,16699263,0,Not Set
002543749,1,2100000722112,4795825,10547079,16702426,0,Not Set
002543763,1,2100000675555,4757493,10527913,16702428,0,Not Set
002543954,1,2100000743506,4757559,10527946,16702182,0,Not Set
002544485,1,2100000605231,4756323,10527328,16699265,0,Not Set
002546059,1,2100000790173,4744961,10521646,16702431,0,Not Set
002546090,1,2100000745791,4768261,10533295,16702433,0,Not Set
002546491,1,2100000842902,4795777,10547054,16743129,0,Not Set
002546492,1,2100000842919,4795785,10547059,16743129,0,Not Set
002546496,1,2100000843695,4766671,10532503,16743196,0,Not Set
002546498,1,2100000843718,4766679,10532507,16743196,0,Not Set
002546814,1,2100000651290,4743273,10520803,16744876,0,Not Set
002546820,1,2100000512966,4790669,10544501,16702438,0,Not Set
002546821,1,2100000512980,4790683,10544509,16702438,0,Not Set
002546824,1,2100000761845,4745011,10521672,16745163,0,Not Set
002546825,1,2100000761852,4745023,10521677,16745163,0,Not Set
002546865,1,2100000584536,4744971,10521652,16743198,0,Not Set
002546873,1,2100000584628,4755599,10526966,16738868,0,Not Set
002546889,1,2100000497669,4743465,10520899,16743199,0,Not Set
002546890,1,2100000497676,4743475,10520904,16743199,0,Not Set
002547223,1,2100000572335,4744107,10521220,16742465,0,Not Set
002549690,1,2100000793280,4787955,10543141,16741289,0,Not Set
002549716,1,2100000793631,4764657,10531494,16741092,0,Not Set
002549717,1,2100000793648,4764667,10531500,16741092,0,Not Set
002534254,1,2100000617494,4749855,10524095,16702412,0,Not Set
002534593,1,2100000753918,4802807,10550571,16702418,0,Not Set
002534594,1,2100000753925,4802813,10550574,16702418,0,Not Set
002534596,1,2100000753956,4802831,10550583,16699303,0,Not Set
002534599,1,2100000753987,4802845,10550590,16699303,0,Not Set
002534601,1,2100000754007,4802857,10550596,16699303,0,Not Set
002534602,1,2100000754038,4777841,10538087,16702415,0,Not Set
002535060,1,2100000527533,4759103,10528718,16738201,0,Not Set
002535081,1,2100000781201,4747797,10523065,16738203,0,Not Set
002536818,1,2100000602308,4778535,10538434,16699269,0,Not Set
002536830,1,2100000825073,4749435,10523884,16699274,0,Not Set
002536844,1,2100000736560,4784627,10541479,16699270,0,Not Set
002536852,1,2100000222759,4796795,10547564,16702020,0,Not Set
